,name,artist_id,track_id,track_name,popularity,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Genre 1,Genre 2,Genre 3,Genre 4,Genre 5,Genre 6,Genre 7,GENRE 7
0,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,4rXLjWdF2ZZpXCVTfWcshS,fukumean,96,4rXLjWdF2ZZpXCVTfWcshS,0.847,0.622,1,-6.747,0,0.0903,0.119,0.0,0.285,0.22,130.001,125040,4,atl hip hop,melodic rap,rap,trap,,,,
1,Olivia Rodrigo,1McMsnEElThX1knmY4oliG,3k79jB4aGmMDUQzEwa46Rz,vampire,98,3k79jB4aGmMDUQzEwa46Rz,0.511,0.532,5,-5.745,1,0.056,0.169,0.0,0.311,0.322,137.827,219724,4,pop,,,,,,,
2,Jung Kook,6HaGTQPmzraVmaVxvz6EUc,7x9aauaA9cu6tyfpHnqDLo,Seven (feat. Latto) (Explicit Ver.),98,7x9aauaA9cu6tyfpHnqDLo,0.802,0.832,11,-4.107,1,0.0434,0.311,0.0,0.0815,0.89,124.997,185427,4,k-pop,,,,,,,
3,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,7K3BhSpAxZBznislvUMVtn,Last Night,90,7K3BhSpAxZBznislvUMVtn,0.492,0.675,6,-5.456,1,0.0389,0.467,0.0,0.142,0.478,203.759,163855,4,contemporary country,,,,,,,
4,Taylor Swift,06HL4z0CvFAxyc27GXpf02,1BxfuPKGuaTgP7aM0Bbdwr,Cruel Summer,100,1BxfuPKGuaTgP7aM0Bbdwr,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,169.994,178427,4,pop,,,,,,,
5,Eslabon Armado,0XeEobZplHxzM9QzFQWLiR,3qQbCzHBycnDpGskqOWY0E,Ella Baila Sola,92,3qQbCzHBycnDpGskqOWY0E,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,165671,3,corrido,corridos tumbados,sad sierreno,sierreno,,,,
6,Luke Combs,718COspgdWOnwOFpJHRZHS,1Lo0QY9cvc8sUB2vnIOxDT,Fast Car,92,1Lo0QY9cvc8sUB2vnIOxDT,0.712,0.603,8,-5.52,1,0.0262,0.186,0.0,0.115,0.67,97.994,265493,4,contemporary country,country,,,,,,
7,Taylor Swift,06HL4z0CvFAxyc27GXpf02,5kHMfzgLZP95O9NBy0ku4v,I Can See You (Taylor’s Version) (From The Vault),93,5kHMfzgLZP95O9NBy0ku4v,0.694,0.764,6,-4.893,1,0.0337,0.0586,0.0,0.0608,0.819,123.044,273186,4,pop,,,,,,,
8,SZA,7tYKF4w9nC0nq9CsPZTHyP,1Qrg8KqiBpW07V7PNxwwwL,Kill Bill,94,1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,4,pop,r&b,rap,,,,,
9,Billie Eilish,6qqNVTkY8uBg9cP3Jd7DAH,6wf7Yu7cxBSPrRlWeSeK0Q,"What Was I Made For? [From The Motion Picture ""Barbie""]",91,6wf7Yu7cxBSPrRlWeSeK0Q,0.444,0.0911,0,-17.665,1,0.0307,0.959,1.05e-06,0.098,0.142,78.403,222370,4,art pop,electropop,pop,,,,,
10,Morgan Wallen,4oUHIQIBe0LHzYfvXNW4QM,5W4kiM2cUYBJXKRudNyxjW,You Proof,87,5W4kiM2cUYBJXKRudNyxjW,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,119.724,157478,4,contemporary country,,,,,,,
